nodes	side	localisation	order
1	2	7	54
2	1	7	1
3	2	7	53
4	1	7	2
5	2	7	52
6	1	7	3
7	2	7	51
8	1	7	4
9	2	7	50
10	1	7	5
11	2	7	49
12	1	7	6
13	2	7	48
14	1	7	7
15	2	7	47
16	1	7	8
17	2	7	46
18	1	7	9
19	2	7	45
20	1	7	10
21	2	7	44
22	1	7	11
23	2	7	43
24	1	7	12
25	2	7	42
26	1	7	13
27	2	7	41
28	1	7	14
29	2	3	40
30	1	3	15
31	2	7	39
32	1	7	16
33	2	7	38
34	1	7	17
35	2	5	37
36	1	5	18
37	2	1	36
38	1	1	19
39	2	6	35
40	1	6	20
41	2	1	34
42	1	1	21
43	2	3	33
44	1	3	22
45	2	3	32
46	1	3	23
47	2	3	31
48	1	3	24
49	2	3	30
50	1	3	25
51	2	3	29
52	1	3	26
53	2	3	28
54	1	3	27
55	2	3	27
56	1	3	28
57	2	5	26
58	1	5	29
59	2	5	25
60	1	5	30
61	2	5	24
62	1	5	31
63	2	5	23
64	1	5	32
65	2	5	22
66	1	5	33
67	2	5	21
68	1	5	34
69	2	5	20
70	1	5	35
71	2	1	19
72	1	1	36
73	2	1	18
74	1	1	37
75	2	1	17
76	1	1	38
77	2	1	16
78	1	1	39
79	2	6	15
80	1	6	40
81	2	6	14
82	1	6	41
83	2	6	13
84	1	6	42
85	2	6	12
86	1	6	43
87	2	6	11
88	1	6	44
89	2	6	10
90	1	6	45
91	2	2	9
92	1	2	46
93	2	2	8
94	1	2	47
95	2	2	7
96	1	2	48
97	2	2	6
98	1	2	49
99	2	2	5
100	1	2	50
101	2	2	4
102	1	2	51
103	2	2	3
104	1	2	52
105	2	2	2
106	1	2	53
107	2	2	1
108	1	2	54
109	1.5	6	1
110	1.5	6	2
111	1.5	6	3
112	1.5	6	4
113	1.5	6	5
114	1.5	6	6
115	1.5	6	7
116	1.5	6	8
